Country,Date,Confirmed_Day,Confirmed_Total
Japan,2020/3/31,254,2967
Japan,2020/4/1,280,3247
Japan,2020/4/2,283,3530
Japan,2020/4/3,336,3866
Japan,2020/4/4,371,4237
Japan,2020/4/5,351,4588
Japan,2020/4/6,234,4822
Japan,2020/4/7,375,5197
Japan,2020/4/8,535,5732
Japan,2020/4/9,594,6326
Japan,2020/4/10,636,6962
Japan,2020/4/11,701,7663
Japan,2020/4/12,522,8185
Japan,2020/4/13,300,8485
Japan,2020/4/14,504,8989
Japan,2020/4/15,558,9547
Japan,2020/4/16,563,10110
Japan,2020/4/17,560,10670
Japan,2020/4/18,590,11260
Japan,2020/4/19,366,11626
Japan,2020/4/20,344,11970
Japan,2020/4/21,383,12353
Japan,2020/4/22,396,12749
Japan,2020/4/23,432,13181
Japan,2020/4/24,385,13566
Japan,2020/4/25,332,13898
Japan,2020/4/26,219,14117
Japan,2020/4/27,171,14288
Japan,2020/4/28,284,14572
Japan,2020/4/29,216,14788
Japan,2020/4/30,208,14996
Japan,2020/5/1,274,15270
Japan,2020/5/2,303,15573
Japan,2020/5/3,200,15773
Japan,2020/5/4,168,15941
Japan,2020/5/5,125,16066
Japan,2020/5/6,101,16167
Japan,2020/5/7,98,16265
Japan,2020/5/8,87,16352
Japan,2020/5/9,115,16467
Japan,2020/5/10,69,16536
Japan,2020/5/11,37,16573
Japan,2020/5/12,87,16660
Japan,2020/5/13,50,16710
Japan,2020/5/14,98,16808
Japan,2020/5/15,52,16860
Japan,2020/5/16,54,16914
Japan,2020/5/17,24,16938
Japan,2020/5/18,33,16971
Japan,2020/5/19,28,16999
Japan,2020/5/20,34,17033
Japan,2020/5/21,41,17074
Japan,2020/5/22,23,17097
Japan,2020/5/23,25,17122
Japan,2020/5/24,41,17163
Japan,2020/5/25,21,17184
Japan,2020/5/26,30,17214
Japan,2020/5/27,26,17240
Japan,2020/5/28,70,17310
Japan,2020/5/29,75,17385
Japan,2020/5/30,43,17428
Japan,2020/5/31,35,17463
Japan,2020/6/1,36,17499
Japan,2020/6/2,50,17549
Japan,2020/6/3,30,17579
Japan,2020/6/4,44,17623
Japan,2020/6/5,47,17670
Japan,2020/6/6,42,17712
Japan,2020/6/7,39,17751
Japan,2020/6/8,21,17772
Japan,2020/6/9,51,17823
Japan,2020/6/10,35,17858
Japan,2020/6/11,41,17899
Japan,2020/6/12,63,17962
Japan,2020/6/13,43,18005
Japan,2020/6/14,76,18081
Japan,2020/6/15,70,18151
Japan,2020/6/16,45,18196
Japan,2020/6/17,46,18242
Japan,2020/6/18,58,18300
Japan,2020/6/19,70,18370
Japan,2020/6/20,67,18437
Japan,2020/6/21,55,18492
Japan,2020/6/22,40,18532
Japan,2020/6/23,59,18591
Japan,2020/6/24,84,18675
Japan,2020/6/25,92,18767
Japan,2020/6/26,107,18874
Japan,2020/6/27,92,18966
Japan,2020/6/28,112,19078
Japan,2020/6/29,110,19188
Japan,2020/6/30,139,19327
Japan,2020/7/1,223,19550
Japan,2020/7/2,217,19767
Japan,2020/7/3,130,19897
Japan,2020/7/4,276,20173
Japan,2020/7/5,207,20380
Japan,2020/7/6,180,20560
Japan,2020/7/7,207,20767
Japan,2020/7/8,206,20973
Japan,2020/7/9,356,21329
Japan,2020/7/10,427,21756
South Korea,2020/1/22,1,1
South Korea,2020/1/23,0,1
South Korea,2020/1/24,1,2
South Korea,2020/1/25,0,2
South Korea,2020/1/26,1,3
South Korea,2020/1/27,1,4
South Korea,2020/1/28,0,4
South Korea,2020/1/29,0,4
South Korea,2020/1/30,0,4
South Korea,2020/1/31,7,11
South Korea,2020/2/1,1,12
South Korea,2020/2/2,3,15
South Korea,2020/2/3,0,15
South Korea,2020/2/4,1,16
South Korea,2020/2/5,3,19
South Korea,2020/2/6,4,23
South Korea,2020/2/7,1,24
South Korea,2020/2/8,0,24
South Korea,2020/2/9,1,25
South Korea,2020/2/10,2,27
South Korea,2020/2/11,1,28
South Korea,2020/2/12,0,28
South Korea,2020/2/13,0,28
South Korea,2020/2/14,0,28
South Korea,2020/2/15,0,28
South Korea,2020/2/16,1,29
South Korea,2020/2/17,1,30
South Korea,2020/2/18,1,31
South Korea,2020/2/19,0,31
South Korea,2020/2/20,73,104
South Korea,2020/2/21,100,204
South Korea,2020/2/22,229,433
South Korea,2020/2/23,169,602
South Korea,2020/2/24,231,833
South Korea,2020/2/25,144,977
South Korea,2020/2/26,284,1261
South Korea,2020/2/27,505,1766
South Korea,2020/2/28,571,2337
South Korea,2020/2/29,813,3150
South Korea,2020/3/1,586,3736
South Korea,2020/3/2,599,4335
South Korea,2020/3/3,851,5186
South Korea,2020/3/4,435,5621
South Korea,2020/3/5,467,6088
South Korea,2020/3/6,505,6593
South Korea,2020/3/7,448,7041
South Korea,2020/3/8,273,7314
South Korea,2020/3/9,164,7478
South Korea,2020/3/10,35,7513
South Korea,2020/3/11,242,7755
South Korea,2020/3/12,114,7869
South Korea,2020/3/13,110,7979
South Korea,2020/3/14,107,8086
South Korea,2020/3/15,76,8162
South Korea,2020/3/16,74,8236
South Korea,2020/3/17,84,8320
South Korea,2020/3/18,93,8413
South Korea,2020/3/19,152,8565
South Korea,2020/3/20,87,8652
South Korea,2020/3/21,147,8799
South Korea,2020/3/22,162,8961
South Korea,2020/3/23,0,8961
South Korea,2020/3/24,76,9037
South Korea,2020/3/25,100,9137
South Korea,2020/3/26,104,9241
South Korea,2020/3/27,91,9332
South Korea,2020/3/28,146,9478
South Korea,2020/3/29,105,9583
South Korea,2020/3/30,78,9661
South Korea,2020/3/31,125,9786
South Korea,2020/4/1,101,9887
South Korea,2020/4/2,89,9976
South Korea,2020/4/3,86,10062
South Korea,2020/4/4,94,10156
South Korea,2020/4/5,81,10237
South Korea,2020/4/6,47,10284
South Korea,2020/4/7,47,10331
South Korea,2020/4/8,53,10384
South Korea,2020/4/9,39,10423
South Korea,2020/4/10,27,10450
South Korea,2020/4/11,30,10480
South Korea,2020/4/12,32,10512
South Korea,2020/4/13,25,10537
South Korea,2020/4/14,27,10564
South Korea,2020/4/15,27,10591
South Korea,2020/4/16,22,10613
South Korea,2020/4/17,22,10635
South Korea,2020/4/18,18,10653
South Korea,2020/4/19,8,10661
South Korea,2020/4/20,13,10674
South Korea,2020/4/21,9,10683
South Korea,2020/4/22,11,10694
South Korea,2020/4/23,14,10708
South Korea,2020/4/24,10,10718
South Korea,2020/4/25,10,10728
South Korea,2020/4/26,10,10738
South Korea,2020/4/27,14,10752
South Korea,2020/4/28,9,10761
South Korea,2020/4/29,4,10765
South Korea,2020/4/30,9,10774
South Korea,2020/5/1,6,10780
South Korea,2020/5/2,13,10793
South Korea,2020/5/3,8,10801
South Korea,2020/5/4,3,10804
South Korea,2020/5/5,2,10806
South Korea,2020/5/6,4,10810
South Korea,2020/5/7,12,10822
South Korea,2020/5/8,18,10840
South Korea,2020/5/9,34,10874
South Korea,2020/5/10,35,10909
South Korea,2020/5/11,27,10936
South Korea,2020/5/12,26,10962
South Korea,2020/5/13,29,10991
South Korea,2020/5/14,27,11018
South Korea,2020/5/15,19,11037
South Korea,2020/5/16,13,11050
South Korea,2020/5/17,15,11065
South Korea,2020/5/18,13,11078
South Korea,2020/5/19,32,11110
South Korea,2020/5/20,12,11122
South Korea,2020/5/21,20,11142
South Korea,2020/5/22,23,11165
South Korea,2020/5/23,25,11190
South Korea,2020/5/24,16,11206
South Korea,2020/5/25,19,11225
South Korea,2020/5/26,40,11265
South Korea,2020/5/27,79,11344
South Korea,2020/5/28,58,11402
South Korea,2020/5/29,39,11441
South Korea,2020/5/30,27,11468
South Korea,2020/5/31,35,11503
South Korea,2020/6/1,38,11541
South Korea,2020/6/2,49,11590
South Korea,2020/6/3,39,11629
South Korea,2020/6/4,39,11668
South Korea,2020/6/5,51,11719
South Korea,2020/6/6,57,11776
South Korea,2020/6/7,38,11814
South Korea,2020/6/8,38,11852
South Korea,2020/6/9,50,11902
South Korea,2020/6/10,45,11947
South Korea,2020/6/11,56,12003
South Korea,2020/6/12,48,12051
South Korea,2020/6/13,34,12085
South Korea,2020/6/14,36,12121
South Korea,2020/6/15,34,12155
South Korea,2020/6/16,43,12198
South Korea,2020/6/17,59,12257
South Korea,2020/6/18,49,12306
South Korea,2020/6/19,67,12373
South Korea,2020/6/20,48,12421
South Korea,2020/6/21,17,12438
South Korea,2020/6/22,46,12484
South Korea,2020/6/23,51,12535
South Korea,2020/6/24,28,12563
South Korea,2020/6/25,39,12602
South Korea,2020/6/26,51,12653
South Korea,2020/6/27,62,12715
South Korea,2020/6/28,42,12757
South Korea,2020/6/29,43,12800
South Korea,2020/6/30,50,12850
South Korea,2020/7/1,54,12904
South Korea,2020/7/2,63,12967
South Korea,2020/7/3,63,13030
South Korea,2020/7/4,61,13091
South Korea,2020/7/5,46,13137
South Korea,2020/7/6,44,13181
South Korea,2020/7/7,63,13244
South Korea,2020/7/8,49,13293
South Korea,2020/7/9,45,13338
South Korea,2020/7/10,35,13373
Taiwan,2020/1/22,1,1
Taiwan,2020/1/23,0,1
Taiwan,2020/1/24,2,3
Taiwan,2020/1/25,0,3
Taiwan,2020/1/26,1,4
Taiwan,2020/1/27,1,5
Taiwan,2020/1/28,3,8
Taiwan,2020/1/29,0,8
Taiwan,2020/1/30,1,9
Taiwan,2020/1/31,1,10
Taiwan,2020/2/1,0,10
Taiwan,2020/2/2,0,10
Taiwan,2020/2/3,0,10
Taiwan,2020/2/4,1,11
Taiwan,2020/2/5,0,11
Taiwan,2020/2/6,5,16
Taiwan,2020/2/7,0,16
Taiwan,2020/2/8,1,17
Taiwan,2020/2/9,1,18
Taiwan,2020/2/10,0,18
Taiwan,2020/2/11,0,18
Taiwan,2020/2/12,0,18
Taiwan,2020/2/13,0,18
Taiwan,2020/2/14,0,18
Taiwan,2020/2/15,0,18
Taiwan,2020/2/16,2,20
Taiwan,2020/2/17,2,22
Taiwan,2020/2/18,0,22
Taiwan,2020/2/19,1,23
Taiwan,2020/2/20,1,24
Taiwan,2020/2/21,2,26
Taiwan,2020/2/22,0,26
Taiwan,2020/2/23,2,28
Taiwan,2020/2/24,2,30
Taiwan,2020/2/25,1,31
Taiwan,2020/2/26,1,32
Taiwan,2020/2/27,0,32
Taiwan,2020/2/28,2,34
Taiwan,2020/2/29,5,39
Taiwan,2020/3/1,1,40
Taiwan,2020/3/2,1,41
Taiwan,2020/3/3,1,42
Taiwan,2020/3/4,0,42
Taiwan,2020/3/5,2,44
Taiwan,2020/3/6,1,45
Taiwan,2020/3/7,0,45
Taiwan,2020/3/8,0,45
Taiwan,2020/3/9,0,45
Taiwan,2020/3/10,2,47
Taiwan,2020/3/11,1,48
Taiwan,2020/3/12,1,49
Taiwan,2020/3/13,1,50
Taiwan,2020/3/14,3,53
Taiwan,2020/3/15,6,59
Taiwan,2020/3/16,8,67
Taiwan,2020/3/17,10,77
Taiwan,2020/3/18,23,100
Taiwan,2020/3/19,8,108
Taiwan,2020/3/20,27,135
Taiwan,2020/3/21,18,153
Taiwan,2020/3/22,16,169
Taiwan,2020/3/23,26,195
Taiwan,2020/3/24,20,215
Taiwan,2020/3/25,20,235
Taiwan,2020/3/26,17,252
Taiwan,2020/3/27,15,267
Taiwan,2020/3/28,16,283
Taiwan,2020/3/29,15,298
Taiwan,2020/3/30,8,306
Taiwan,2020/3/31,16,322
Taiwan,2020/4/1,7,329
Taiwan,2020/4/2,10,339
Taiwan,2020/4/3,9,348
Taiwan,2020/4/4,7,355
Taiwan,2020/4/5,8,363
Taiwan,2020/4/6,10,373
Taiwan,2020/4/7,3,376
Taiwan,2020/4/8,3,379
Taiwan,2020/4/9,1,380
Taiwan,2020/4/10,2,382
Taiwan,2020/4/11,3,385
Taiwan,2020/4/12,3,388
Taiwan,2020/4/13,5,393
Taiwan,2020/4/14,0,393
Taiwan,2020/4/15,2,395
Taiwan,2020/4/16,0,395
Taiwan,2020/4/17,0,395
Taiwan,2020/4/18,3,398
Taiwan,2020/4/19,22,420
Taiwan,2020/4/20,2,422
Taiwan,2020/4/21,3,425
Taiwan,2020/4/22,1,426
Taiwan,2020/4/23,1,427
Taiwan,2020/4/24,1,428
Taiwan,2020/4/25,1,429
Taiwan,2020/4/26,0,429
Taiwan,2020/4/27,0,429
Taiwan,2020/4/28,0,429
Taiwan,2020/4/29,0,429
Taiwan,2020/4/30,0,429
Taiwan,2020/5/1,0,429
Taiwan,2020/5/2,3,432
Taiwan,2020/5/3,4,436
Taiwan,2020/5/4,2,438
Taiwan,2020/5/5,0,438
Taiwan,2020/5/6,1,439
Taiwan,2020/5/7,1,440
Taiwan,2020/5/8,0,440
Taiwan,2020/5/9,0,440
Taiwan,2020/5/10,0,440
Taiwan,2020/5/11,0,440
Taiwan,2020/5/12,0,440
Taiwan,2020/5/13,0,440
Taiwan,2020/5/14,0,440
Taiwan,2020/5/15,0,440
Taiwan,2020/5/16,0,440
Taiwan,2020/5/17,0,440
Taiwan,2020/5/18,0,440
Taiwan,2020/5/19,0,440
Taiwan,2020/5/20,0,440
Taiwan,2020/5/21,0,440
Taiwan,2020/5/22,1,441
Taiwan,2020/5/23,0,441
Taiwan,2020/5/24,0,441
Taiwan,2020/5/25,0,441
Taiwan,2020/5/26,0,441
Taiwan,2020/5/27,0,441
Taiwan,2020/5/28,0,441
Taiwan,2020/5/29,1,442
Taiwan,2020/5/30,0,442
Taiwan,2020/5/31,0,442
Taiwan,2020/6/1,1,443
Taiwan,2020/6/2,0,443
Taiwan,2020/6/3,0,443
Taiwan,2020/6/4,0,443
Taiwan,2020/6/5,0,443
Taiwan,2020/6/6,0,443
Taiwan,2020/6/7,0,443
Taiwan,2020/6/8,0,443
Taiwan,2020/6/9,0,443
Taiwan,2020/6/10,0,443
Taiwan,2020/6/11,0,443
Taiwan,2020/6/12,0,443
Taiwan,2020/6/13,0,443
Taiwan,2020/6/14,0,443
Taiwan,2020/6/15,2,445
Taiwan,2020/6/16,0,445
Taiwan,2020/6/17,0,445
Taiwan,2020/6/18,1,446
Taiwan,2020/6/19,0,446
Taiwan,2020/6/20,0,446
Taiwan,2020/6/21,0,446
Taiwan,2020/6/22,0,446
Taiwan,2020/6/23,0,446
Taiwan,2020/6/24,0,446
Taiwan,2020/6/25,1,447
Taiwan,2020/6/26,0,447
Taiwan,2020/6/27,0,447
Taiwan,2020/6/28,0,447
Taiwan,2020/6/29,0,447
Taiwan,2020/6/30,0,447
Taiwan,2020/7/1,0,447
Taiwan,2020/7/2,1,448
Taiwan,2020/7/3,1,449
Taiwan,2020/7/4,0,449
Taiwan,2020/7/5,0,449
Taiwan,2020/7/6,0,449
Taiwan,2020/7/7,0,449
Taiwan,2020/7/8,0,449
Taiwan,2020/7/9,0,449
Taiwan,2020/7/10,0,449
